"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Docker Hub?","A type of network","A CLI command","A public container registry","A monitoring tool","C","Docker Hub is a cloud-based registry for sharing container images publicly or privately."
"Which command is used to push an image to a registry?","docker upload","docker push","docker save","docker send","B","docker push uploads a Docker image to a registry like Docker Hub."
"What is a private registry in Docker?","A registry hosted locally or privately","A Docker command","A secure container image","An image storage engine","A","Private registries are self-hosted or cloud-hosted registries with access control."
"What does the docker tag command do before pushing to a registry?","Pushes the image automatically","Attaches metadata","Assigns a registry path to the image","Deletes the image","C","docker tag adds the registry URL prefix to the image for pushing."
"Which port does a default Docker registry run on?","8080","5000","443","3000","B","The default Docker registry runs on port 5000."
"Which command pulls an image from a private registry?","docker get private/image","docker fetch image","docker pull myregistrydomain.com/image","docker login image","C","docker pull uses the full registry path to fetch from private registries."
"What is required to access a private registry?","Admin rights","Dockerfile","docker login","SSH Key","C","docker login authenticates a user to access private registries."
"How do you remove an image from your local system?","docker remove","docker image del","docker rmi","docker unload","C","docker rmi removes images from the local Docker host."
"Which of the following is NOT a registry?","Docker Hub","Azure Container Registry","GitHub Container Registry","Docker Builder","D","Docker Builder is a tool, not a container registry."
"Can Docker images be signed for security?","Yes, using Docker Content Trust","No, signing is not possible","Only with paid plans","Yes, using antivirus","A","Docker Content Trust allows signing and verification of images."
"What is Docker Hub?","A type of network","A CLI command","A public container registry","A monitoring tool","C","Docker Hub is a cloud-based registry for sharing container images publicly or privately."
"Which command is used to push an image to a registry?","docker upload","docker push","docker save","docker send","B","docker push uploads a Docker image to a registry like Docker Hub."
"What is a private registry in Docker?","A registry hosted locally or privately","A Docker command","A secure container image","An image storage engine","A","Private registries are self-hosted or cloud-hosted registries with access control."
"What does the docker tag command do before pushing to a registry?","Pushes the image automatically","Attaches metadata","Assigns a registry path to the image","Deletes the image","C","docker tag adds the registry URL prefix to the image for pushing."
"Which port does a default Docker registry run on?","8080","5000","443","3000","B","The default Docker registry runs on port 5000."
"Which command pulls an image from a private registry?","docker get private/image","docker fetch image","docker pull myregistrydomain.com/image","docker login image","C","docker pull uses the full registry path to fetch from private registries."
"What is required to access a private registry?","Admin rights","Dockerfile","docker login","SSH Key","C","docker login authenticates a user to access private registries."
"How do you remove an image from your local system?","docker remove","docker image del","docker rmi","docker unload","C","docker rmi removes images from the local Docker host."
"Which of the following is NOT a registry?","Docker Hub","Azure Container Registry","GitHub Container Registry","Docker Builder","D","Docker Builder is a tool, not a container registry."
"Can Docker images be signed for security?","Yes, using Docker Content Trust","No, signing is not possible","Only with paid plans","Yes, using antivirus","A","Docker Content Trust allows signing and verification of images."
