"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Redux primarily used for in React applications?","Routing","Styling components","Managing global application state","Server-side rendering","C","Redux helps manage state across the entire React application."
"Which hook is used to read values from Redux store in React?","useEffect","useDispatch","useSelector","useState","C","useSelector allows you to extract data from the Redux store state."
"Which Redux concept describes how state is updated?","Reducers","Actions","Selectors","Dispatchers","A","Reducers are pure functions that determine changes to state based on actions."
"What is an action in Redux?","A view element","A function that updates state directly","An object describing what happened","A selector method","C","Actions are plain JavaScript objects that describe an event or change."
"Which Redux middleware is used to handle async operations?","redux-logger","redux-devtools","redux-thunk","redux-async","C","redux-thunk allows writing action creators that return a function instead of an action."
"Which Redux method sends an action to the store?","useState","dispatch()","setState","emit()","B","dispatch() sends actions to the store to trigger reducer logic."
"What does the Provider component do in Redux?","Fetches data","Connects store to React components","Handles routing","Displays notifications","B","Provider wraps the app and allows components to access the Redux store."
"Redux Toolkit simplifies Redux by:","Creating stores automatically","Eliminating reducers","Providing APIs to write less boilerplate code","Replacing useState","C","Redux Toolkit reduces boilerplate code and simplifies store setup."
"What is the purpose of createSlice() in Redux Toolkit?","Define routes","Generate store","Combine reducer, actions, and initial state","Create new components","C","createSlice groups reducer logic, initial state, and actions."
"Which statement is true about reducers?","Reducers mutate the state","Reducers return new state based on action","Reducers access local storage directly","Reducers are components","B","Reducers are pure functions that return a new state without mutating the old one."
"How do you structure a Redux store?","With JSX","By using combineReducers and configureStore","Only with classes","With HTML forms","B","combineReducers and configureStore help create modular Redux stores."
"What is the recommended approach for state mutation in Redux?","Direct object modification","Use spread operator or immer","Object.assign in useEffect","localStorage","B","State should be updated immutably, either via spread or using immer in Redux Toolkit."
"Which function helps bind multiple reducers?","bindReducer()","combineReducers()","useReducer()","addReducers()","B","combineReducers allows you to merge multiple reducers into one."
"What is the role of the store in Redux?","Render components","Store component props","Hold application state and allow access","Hold database schema","C","The store contains the whole state tree of the app."
"How can you debug Redux?","console.debug()","React Router","Redux DevTools extension","HTML console","C","Redux DevTools helps inspect state, actions, and time-travel debugging."
"Where is the Redux store typically initialized?","App component","index.js or main.js","Inside useEffect","Within reducer","B","The store is usually created and passed to the Provider in index.js."
"What’s a slice in Redux Toolkit?","A UI element","A reducer with action creators and initial state","A route handler","A part of a React component","B","A slice contains reducer logic and actions for a feature."
"What should reducers be?","Synchronous and pure","Asynchronous and impure","Depend on context","Fetch data","A","Reducers should be pure functions without side effects."
"What is the useDispatch hook used for?","To select values from the store","To update HTML content","To dispatch actions to the store","To update form values","C","useDispatch is used to send actions to the Redux store."
"Redux encourages what type of architecture?","Two-way data binding","Component-based routing","Unidirectional data flow","Circular dependencies","C","Redux follows a unidirectional data flow from dispatch → reducer → store → view."
